Andean saddle-back tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Cruz Lima's saddle-back tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Geoffroy's saddle-back tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Illiger's saddle-back tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Lesson's saddle-back tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Red-mantled saddle-back tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Weddell's saddle-back tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Black lion tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Golden lion tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Golden-headed lion tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Superagüi lion tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Black-headed marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Black-tailed marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Emilia's marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Gold-and-white marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Hershkovitz's marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Marca's marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Maués marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Munduruku marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Rio Acarí marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Rondon's marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Roosmalens' dwarf marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Santarem marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Satéré marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Schneider's marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Silvery marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
White marmoset,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Brown-mantled tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Black-mantled tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Black tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Cotton-top tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Eastern black-handed tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Emperor tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Geoffroy's tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Golden-handed tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Golden-mantled tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Martins's tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Mottle-faced tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Moustached tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Pied tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Red-capped tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
White-footed tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
White-lipped tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
White-mantled tamarin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Colombian white-faced capuchin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Kaapori capuchin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Wedge-capped capuchin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Humboldt's white-fronted capuchin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Black capuchin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Azaras's capuchin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Black-striped capuchin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Blond capuchin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Crested capuchin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Golden-bellied capuchin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Tufted capuchin,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Bare-eared squirrel monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Black squirrel monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Black-capped squirrel monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Central American squirrel monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Collins' squirrel monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Guianan squirrel monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Humboldt's squirrel monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Atlantic titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Barbara Brown's titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Black-fronted titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Coastal black-handed titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Coimbra Filho's titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Black titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
